fsa,ra_code,ra_nom,strate_region
J7K,14,Lanaudière,couronne
J7L,14,Lanaudière,couronne
J7M,14,Lanaudière,couronne
J7N,15,Laurentides,couronne
J7P,15,Laurentides,couronne
J7R,15,Laurentides,couronne
J7T,16,Montérégie,couronne
J7V,16,Montérégie,couronne
J7W,16,Montérégie,couronne
J7X,16,Montérégie,couronne
J7Y,15,Laurentides,couronne
J7Z,15,Laurentides,couronne
J8A,15,Laurentides,couronne
J8B,15,Laurentides,couronne
J8C,15,Laurentides,couronne
J8E,15,Laurentides,couronne
J8G,15,Laurentides,couronne
J8H,15,Laurentides,couronne
J8L,07,Outaouais,regions
J8M,07,Outaouais,regions
J8N,07,Outaouais,regions
J8P,07,Outaouais,regions
J8R,07,Outaouais,regions
J8T,07,Outaouais,regions
J8V,07,Outaouais,regions
J8X,07,Outaouais,regions
J8Y,07,Outaouais,regions
J8Z,07,Outaouais,regions
J9A,07,Outaouais,regions
J9B,07,Outaouais,regions
J9E,07,Outaouais,regions
J9H,07,Outaouais,regions
J9J,07,Outaouais,regions
J9L,15,Laurentides,couronne
J9P,08,Abitibi-Témiscamingue,regions
J9T,08,Abitibi-Témiscamingue,regions
J9V,08,Abitibi-Témiscamingue,regions
J9X,08,Abitibi-Témiscamingue,regions
J9Y,08,Abitibi-Témiscamingue,regions
J9Z,08,Abitibi-Témiscamingue,regions
