GeoUID,Type,Region Name,Area (sq km),Population,Dwellings,Households,PR_UID,C_UID,"v_CA21_1: Population, 2021",v_CA21_9: Total - Age,v_CA21_10: Total - Age,v_CA21_14: 0 to 4 years,v_CA21_32: 5 to 9 years,v_CA21_50: 10 to 14 years,v_CA21_71: 15 to 19 years,v_CA21_89: 20 to 24 years,v_CA21_107: 25 to 29 years,v_CA21_125: 30 to 34 years,v_CA21_143: 35 to 39 years,v_CA21_161: 40 to 44 years,v_CA21_179: 45 to 49 years,v_CA21_197: 50 to 54 years,v_CA21_215: 55 to 59 years,v_CA21_233: 60 to 64 years,v_CA21_254: 65 to 69 years,v_CA21_272: 70 to 74 years,v_CA21_290: 75 to 79 years,v_CA21_308: 80 to 84 years,v_CA21_329: 85 to 89 years,"v_CA21_930: $30,000 to $34,999","v_CA21_927: $15,000 to $19,999",strate_region
2446,CD,Brome-Missisquoi (MRC),1650.1952000000001,64786,34331,29414,24,,64786,32115,32670,3020,3300,3530,2965,2455,3035,3280,3665,3895,3540,3785,5345,5900,5485,4780,3150,1895,1090,1100,580,regions
2447,CD,La Haute-Yamaska (MRC),636.0029,92796,43030,41563,24,,92796,45785,47015,4465,5220,5420,4690,4050,4755,5110,5395,5860,5140,5430,7305,7945,6950,5815,4170,2605,1615,1690,935,regions
2448,CD,Acton (MRC),579.6411,15654,7185,6844,24,,15654,8035,7620,805,860,960,795,710,755,785,895,995,915,980,1255,1315,1145,995,675,455,235,305,160,regions
2449,CD,Drummond (MRC),1599.0957,107967,50285,48416,24,,107967,54210,53755,5560,6135,6460,5750,5430,5925,6300,6500,7660,6315,6220,7745,8040,7575,6570,4520,2765,1570,2050,1260,regions
2450,CD,Nicolet-Yamaska (MRC),1004.9793,23848,11371,10552,24,,23848,11805,12040,1215,1365,1320,1050,1010,1165,1365,1335,1425,1240,1300,1875,2055,1825,1490,1095,810,465,485,275,regions
2451,CD,Maskinongé (MRC),2367.0819,37292,19380,17241,24,,37292,19050,18240,1615,1995,2000,1480,1230,1440,1870,2275,2320,1880,2165,3275,3775,3345,2585,1925,1060,720,830,425,regions
2452,CD,D'Autray (MRC),1234.6682,44080,21395,19555,24,,44080,22320,21760,2250,2350,2390,1875,1880,2365,2610,2525,2600,2375,2855,3750,4080,3370,2745,1980,1115,615,780,415,regions
2453,CD,Pierre-De Saurel (MRC),595.1327,51843,25885,24724,24,,51843,26015,25825,2080,2390,2350,2160,2170,2465,2680,2835,3125,2660,3200,4080,4810,4615,3975,3050,1590,1020,1100,710,regions
2454,CD,Les Maskoutains (MRC),1302.1548,89432,41625,39931,24,,89432,44130,45305,4475,5130,5400,4550,4560,5155,5215,5440,5990,5015,5375,6475,6715,6060,5060,3820,2330,1580,1560,960,regions
2462,CD,Matawinie (MRC),9423.1539,55500,37357,26510,24,,55500,28740,26755,2295,2460,2480,2050,1925,2430,2530,2645,2930,2825,3655,5575,6540,5610,4140,2705,1530,775,1155,690,regions
2468,CD,Les Jardins-de-Napierville (MRC),802.5226,30339,12446,11859,24,,30339,15700,14640,1825,1855,1795,1530,1540,2065,2150,2075,2065,1770,1830,2310,2125,1750,1365,1000,615,470,375,160,regions
2475,CD,La Rivière-du-Nord (MRC),447.8784,140394,64392,61429,24,,140394,69725,70675,7855,8485,8335,6840,6650,8525,9250,8995,9315,8580,8880,10680,10785,8960,7130,5235,3125,1785,2285,1230,regions
2476,CD,Argenteuil (MRC),1234.6887,34752,19600,16223,24,,34752,17415,17340,1540,1540,1695,1545,1345,1770,1795,1765,1995,1870,2290,3195,3280,3050,2335,1825,1015,585,755,440,regions
2477,CD,Les Pays-d'en-Haut (MRC),673.9827,46906,31300,23530,24,,46906,23235,23670,1575,1825,1880,1725,1405,1715,1975,2240,2405,2565,3245,4620,5720,4990,3840,2540,1360,850,930,460,regions
2478,CD,Les Laurentides (MRC),2457.5275,50777,37057,24959,24,,50777,25260,25515,1895,2260,2385,1960,1660,2090,2410,2675,3035,2805,3150,4770,5650,4825,3850,2675,1500,810,1155,610,regions
2479,CD,Antoine-Labelle (MRC),14809.8521,36462,23909,17839,24,,36462,18575,17890,1305,1440,1580,1420,1275,1475,1615,1650,2020,1840,2125,3490,4050,3940,3090,2125,1125,580,920,540,regions
2480,CD,Papineau (MRC),2903.4469,24308,16059,11504,24,,24308,12440,11865,960,1140,1130,900,855,980,1270,1225,1160,1250,1630,2385,2735,2355,1935,1250,645,300,535,270,regions
2481,CD,Gatineau (TÉ),341.8414,291041,133225,126476,24,,291041,141595,149450,15635,18440,18520,15785,17185,19635,19760,20480,20620,18715,18415,20630,19660,15850,12590,8645,5220,3165,3880,2560,regions
2482,CD,Les Collines-de-l'Outaouais (MRC),2025.3754,54498,25105,21103,24,,54498,27830,26670,3110,3625,3805,3100,2130,2645,3480,3860,3870,3990,4200,4635,4145,3160,2230,1355,670,315,415,225,regions
2483,CD,La Vallée-de-la-Gatineau (MRC),12362.4898,20547,14977,9983,24,,20547,10360,10185,810,945,845,835,715,930,940,940,990,1145,1425,2020,2300,2010,1510,1055,600,325,540,270,regions
2484,CD,Pontiac (MRC),12824.3648,14764,10143,6665,24,,14764,7405,7360,695,750,765,660,660,645,755,670,710,745,960,1385,1450,1335,1070,770,415,195,330,260,regions
2485,CD,Témiscamingue (MRC),16327.2561,16132,8821,7317,24,,16132,8145,7980,715,915,1030,855,695,770,725,915,895,905,1015,1345,1445,1335,975,725,435,270,315,170,regions
2486,CD,Rouyn-Noranda (TÉ),5963.5671,42313,20874,19282,24,,42313,21210,21110,2305,2540,2455,2130,2285,2805,2825,2765,2540,2360,2505,3170,3285,2770,2170,1460,895,670,655,475,regions
2487,CD,Abitibi-Ouest (MRC),3312.45,20526,10082,9233,24,,20526,10515,10015,1020,1145,1235,1150,875,955,1075,1165,1215,1075,1135,1660,1880,1665,1285,920,585,290,385,270,regions
2488,CD,Abitibi (MRC),7627.6313,24764,11784,10941,24,,24764,12575,12190,1290,1495,1500,1295,1220,1430,1455,1490,1595,1455,1480,1950,2085,1800,1370,935,510,275,370,205,regions
2489,CD,La Vallée-de-l'Or (MRC),24094.8403,43347,20944,19648,24,,43347,22055,21290,2545,2515,2625,2170,2210,2640,2785,2615,2620,2500,2580,3465,3585,2885,2260,1535,950,570,680,430,regions
2490,CD,La Tuque (TÉ),26031.8442,15038,8394,6643,24,,15038,7745,7295,830,855,950,850,680,760,830,825,885,805,865,1085,1370,1070,895,650,430,265,305,180,regions
2491,CD,Le Domaine-du-Roy (MRC),17476.4467,31095,16921,14281,24,,31095,15665,15430,1295,1635,1755,1420,1470,1355,1445,1740,1795,1560,1750,2550,3050,2635,2230,1535,975,580,610,340,regions
2492,CD,Maria-Chapdelaine (MRC),35501.4881,24149,12185,10967,24,,24149,12290,11860,1050,1250,1430,1220,995,985,1075,1330,1515,1185,1265,2035,2365,2100,1730,1155,690,490,445,255,regions
2493,CD,Lac-Saint-Jean-Est (MRC),2767.5138,52475,25764,23497,24,,52475,26275,26200,2485,2880,3120,2670,2260,2490,2710,3130,3290,2730,2785,4185,4965,4260,3160,2415,1505,885,955,525,regions
2494,CD,Le Saguenay-et-son-Fjord (CDR),39797.2467,167833,83461,77659,24,,167833,84060,83770,7860,8865,8800,8080,8105,9320,9610,10220,10700,8925,8820,12640,14885,13280,10705,7530,4935,2795,2885,1830,regions
2495,CD,La Haute-Côte-Nord (MRC),11295.8159,10278,5693,5023,24,,10278,5190,5095,345,435,505,435,330,420,410,510,585,555,680,935,1150,975,750,595,325,220,245,135,regions
2496,CD,Manicouagan (MRC),34655.044,30158,15035,13781,24,,30158,15240,14915,1270,1580,1610,1465,1410,1460,1570,1630,1855,1785,2035,2835,2875,2225,1760,1400,765,470,485,240,regions
2497,CD,Sept-Rivières--Caniapiscau (CDR),94464.3471,38240,19507,16808,24,,38240,19365,18875,2140,2335,2585,2120,1985,2280,2360,2355,2515,2425,2590,2935,2740,2220,1780,1315,905,395,580,300,regions
2498,CD,Minganie--Le Golfe-du-Saint-Laurent (CDR),94027.0662,9849,5028,4186,24,,9849,4925,4925,450,525,560,505,415,480,475,520,520,605,755,920,875,775,610,380,240,155,145,45,regions
2499,CD,Nord-du-Québec (CDR),707306.5187,45740,17325,14543,24,,45740,23230,22515,4390,4075,4315,3670,3225,3370,3170,2760,2700,2610,2560,2505,2230,1610,1160,720,375,210,380,225,regions
